name,value,year,lastValue,rank
Cartier,7547,2017,7566.09999999998,65
LEGO,7024,2017,6990.70000000003,66
Banco Santander,6702,2017,6654.10000000004,67
Kia,6683,2017,6647.30000000003,68
Huawei,6676,2017,6591.90000000008,69
Mastercard,6350,2017,6288.60000000006,70
FedEx,6255,2017,6187.40000000006,71
Land Rover,6095,2017,6055.10000000004,72
Johnson & Johnson,6041,2017,6015.90000000002,73
Panasonic,5983,2017,6021.19999999997,74
DHL,5715,2017,5714.3,75
Harley-Davidson,5671,2017,5656.60000000001,76
Netflix,5592,2017,5592,77
Discovery,5411,2017,5464.29999999995,78
PayPal,5408,2017,5351.10000000005,79
Tiffany & Co.,5394,2017,5430.69999999997,80
Jack Daniel's,5332,2017,5318.10000000001,81
KFC,5313,2017,5355.89999999996,82
Salesforce.com,5224,2017,5224,83
Heineken,5181,2017,5175.20000000001,84
Burberry,5135,2017,5157.69999999998,85
MINI,5114,2017,5101.20000000001,86
Ferrari,4876,2017,NA,87
Caterpillar,4868,2017,4923.69999999995,88
Sprite,4842,2017,4872.59999999997,89
Shell,4823,2017,4800.60000000002,90
John Deere,4783,2017,4786.2,91
Corona,4776,2017,4749.30000000002,92
Prada,4716,2017,4794.79999999993,93
Dior,4587,2017,4619.19999999997,94
Johnnie Walker,4405,2017,4396.20000000001,95
Chanel,NA,2017,NA,96
Hennessy,NA,2017,NA,97
Nintendo,NA,2017,NA,98
Spotify,NA,2017,NA,99
Subaru,NA,2017,NA,100
Apple,187186.599999997,2017.1,184154,1
Google,143083.299999999,2017.1,141703,2
Microsoft,81270.5999999988,2017.1,79999,3
Coca-Cola,69393.8000000003,2017.1,69733,4
Amazon,68392.7999999967,2017.1,64796,5
Samsung,56613.0999999997,2017.1,56249,6
Toyota,50602.2999999997,2017.1,50291,7
Mercedes-Benz,47906.1999999999,2017.1,47829,8
Facebook,47886.0000000003,2017.1,48188,9
IBM,46443.3000000004,2017.1,46829,10
GE,43062.900000001,2017.1,44208,11
McDonald's,41721.3999999998,2017.1,41533,12
BMW,41469.5,2017.1,41521,13
Disney,40682.2000000001,2017.1,40772,14
Intel,39842.3999999997,2017.1,39459,15
Cisco,32194.4999999998,2017.1,31930,16
Oracle,27332.7000000001,2017.1,27466,17
Nike,27330.8999999997,2017.1,27021,18
Louis Vuitton,23442.2999999995,2017.1,22919,19
Honda,22794.5999999999,2017.1,22696,20
SAP,22660,2017.1,22635,21
Pepsi,20521.7,2017.1,20491,22
H&M,20121.8000000003,2017.1,20488,23
Zara,18486.9000000001,2017.1,18573,24
IKEA,18370.6000000001,2017.1,18472,25
Gillette,18066.4000000001,2017.1,18200,26
American Express,17922.1999999999,2017.1,17787,27
Pampers,16436.1,2017.1,16416,28
